node_id,latitude,longitude,road_name,lanes,road_class,speed_limit,base_capacity,q_demand,road_importance,elevation,slope,retail_count,dining_count,office_count,kitchen_count,eloc_count,total_violations,weighted_capacity_reduction,total_pcu,police_station,commercial_density,transit_density,retail_density,kitchen_density,eloc_density,dining_density,corporate_density,vulnerability_index,predicted_risk,stgat_risk,xgboost_risk,cluster_id
node_outer_ring_road_orr_0,13.035,77.597,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,892.1962326232807,0.0,0,0,0,0,1,13914,4011.0,10090.4,Kodigehalli,0.3005318768550766,0.8330320603143271,0.0,0.0,1.0,0.1988772386643576,0.2501599176129339,0.7215365225875877,0.0049515273,0.003738594,0.0067709265,-1
node_outer_ring_road_orr_1,13.034083333333331,77.59883333333333,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,892.6823400743667,0.0021365490024481,1,0,0,0,0,384,118.4,284.5,R.T. Nagar,0.2974086367286093,0.8237231015373228,0.5,0.0,0.0,0.196725752728498,0.2473413974028052,0.6246168394013942,0.0027174824,0.0039399834,0.00088373077,24
node_outer_ring_road_orr_2,13.033166666666666,77.60066666666665,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,893.1864200802202,0.0022155423276496,0,0,0,0,0,49,19.35,43.5,R.T. Nagar,0.287707272187521,0.796027618095901,0.0,0.0,0.0,0.1902014428433157,0.2389961179826931,0.5180630302904354,0.0022953912,0.0037064354,0.00017882427,24
node_outer_ring_road_orr_3,13.03225,77.60249999999999,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,893.6798579926968,0.0021687679901158,0,0,0,0,0,23,9.15,22.7,R.T. Nagar,0.2720996625821498,0.751821360264199,0.0,0.0,0.0,0.1797507908365746,0.2256879930515247,0.4949691794271803,0.0021914612,0.0036773807,0.0,24
node_outer_ring_road_orr_4,13.031333333333333,77.60433333333333,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,894.1347668073698,0.0019994241438247,0,0,0,1,0,77,21.8,59.3,R.T. Nagar,0.2516200855481154,0.6939960793782906,0.0,0.3333333333333333,0.0,0.1660616801855574,0.2082865627157618,0.5261469152821315,0.0021935368,0.0036792243,0.0,24
node_outer_ring_road_orr_5,13.030416666666666,77.60616666666667,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,894.524494991522,0.0017129409582512,0,1,0,0,0,96,40.65,94.4,R.T. Nagar,0.2275530021088441,0.6261475075113075,0.0,0.0,0.0,0.3999890696784774,0.1878733313731447,0.4983412955604561,0.0022452537,0.0036226572,0.00017914786,24
node_outer_ring_road_orr_6,13.0295,77.608,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,894.8241130846867,0.001316887319123,0,0,0,0,0,46,21.45,45.5,Hebbala,0.2013012048995573,0.5522073108360853,0.0,0.0,0.0,0.1324674956315101,0.1656312617429069,0.3905838181647593,0.0022381877,0.0036201924,0.0001651804,-1
node_outer_ring_road_orr_7,13.028583333333334,77.60983333333333,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,895.0108715860886,0.0008208446280345,0,0,0,0,0,22,9.95,23.0,Hennuru,0.1742531868069795,0.4760712035136099,0.0,0.0,0.0,0.114422881298536,0.1427331068243965,0.3507568504326066,0.0021985974,0.0035542084,0.0001651804,16
node_outer_ring_road_orr_8,13.027666666666669,77.61166666666666,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,895.0646230744238,0.0002362495956937,0,0,0,0,0,32,15.0,33.8,Hennuru,0.1476670954436566,0.4012714613644597,0.0,0.0,0.0,0.0966951694955583,0.1202430830816967,0.3116271599700119,0.0021397537,0.0035256431,6.091892e-05,16
node_outer_ring_road_orr_9,13.02675,77.6135,Outer Ring Road ORR,4,Arterial Highway Corridor,60.0,4000.0,3900.0,3.0,894.9682020372402,-0.0004237916336181,0,0,0,0,0,8,3.1,8.0,Hennuru,0.1225843157614323,0.3307303020041123,0.0,0.0,0.0,0.0799804587790505,0.0990428576062383,0.2747260077786804,0.0021244904,0.0035002048,6.091892e-05,16
